date,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,Final_Community_Sum
01/01/2020 01:00,0.10,0.57,0.36,0.22,1.11,0.29,1.18,3.35,0.83,1.07,0.53,0.21,0.16,0.33,0.65,0.71,0.31,0.92,0.43,0.42,13.75
01/01/2020 02:00,0.04,0.38,0.26,0.14,0.19,0.36,1.25,3.34,0.62,1.08,0.14,0.12,0.16,0.24,1.08,0.73,0.47,0.82,0.21,0.16,11.81
01/01/2020 03:00,0.08,0.14,0.25,0.16,0.09,0.29,1.25,3.32,0.43,0.97,0.21,0.15,0.16,0.22,1.37,0.84,0.26,0.77,0.19,0.13,11.30
01/01/2020 04:00,0.07,0.09,0.25,0.23,0.12,0.31,0.30,1.52,0.45,0.15,0.30,0.16,0.65,0.20,0.34,0.82,0.16,0.46,0.23,0.10,6.90
01/01/2020 05:00,0.04,0.11,0.22,0.21,0.11,0.19,0.31,0.26,0.38,0.21,0.63,0.16,0.47,0.24,0.18,0.42,0.15,0.48,0.21,0.10,5.09
01/01/2020 06:00,0.07,0.09,1.63,0.17,0.13,0.46,0.29,0.24,0.35,0.27,0.22,0.15,0.76,0.34,0.20,0.40,0.15,0.53,0.23,0.11,6.79
01/01/2020 07:00,0.04,0.10,1.72,0.22,0.13,0.26,0.13,0.21,0.42,0.11,0.24,0.22,0.38,0.22,0.18,0.44,0.15,0.45,0.25,0.07,5.95
01/01/2020 08:00,0.07,0.45,0.14,0.31,0.42,0.33,0.16,0.39,0.84,0.22,0.15,0.28,0.62,0.32,0.20,0.40,0.15,0.40,0.28,0.05,6.18
01/01/2020 09:00,0.06,0.47,0.29,0.46,0.24,1.64,0.12,0.32,1.93,0.51,0.13,0.92,0.41,0.60,0.17,0.40,0.15,0.61,0.40,0.06,9.91
01/01/2020 10:00,0.28,0.43,0.26,1.59,0.39,2.10,0.14,0.23,2.45,0.87,0.32,0.52,0.35,0.39,2.59,0.46,0.24,1.13,0.52,0.05,15.31
